"","influencer.name","user_id","ideology.estimate"
"232","RepJimCosta",245451804,0.554511965698264
"233","lisamurkowski",18061669,1.16121890660375
"234","DailyCaller",39308549,1.48886541171026
"235","CNBC",20402945,0.412498781273799
"236","GabbyGiffords",44177383,-0.843972258264089
"237","TGowdySC",237348797,1.54645686555602
"238","RepMcCaul",26424123,1.55275707712897
"239","RepAlGreen",156333623,-1.07772513600162
"240","virginiafoxx",16256269,1.47297004124856
"241","RepLawrence",2863006655,0.708208202676973
"242","RonWyden",250188760,0.869336682116335
"243","repblumenauer",15954997,-1.63720872659663
"244","RepHorsford",389840566,-1.02281368420626
"245","BBCWorld",742143,0.719358483528724
"246","apalmerdc",77032777,1.23527598154298
"247","RepHuffman",1071102246,-0.940845228178202
"248","HispanicCaucus",33530012,0.727425261348025
"249","RepMikeQuigley",56864092,-1.14337205597808
"250","PatrickMcHenry",27676828,1.77839698363922
"251","GOPoversight",22508473,1.70814095078995
"252","RepAdams",2916086925,-0.986678210692884
"253","RepScottPeters",1135486501,-0.0958757182668515
"254","nytpolitics",14434063,0.518001396743213
"255","seanhannity",41634520,1.57777858578085
"256","BillPascrell",74508260,-1.14334369345467
"257","CongressmanHice",2975091705,1.58588657676939
"258","RepDelBene",995193054,-0.966539375812787
"259","HuffPostPol",15458694,1.06560694838803
"260","JoeCrowleyNY",111635980,-0.925887553521715
"261","RepWalorski",1065995022,1.41449755159317
"262","RepByrne",2253968388,1.37931307135769
"263","jasoninthehouse",17800215,1.50200128461729
"264","BillClinton",1330457336,-1.04602679348622
"265","AaronBlake",136300373,1.16032303801315
"266","RepJoeCourtney",85396297,-0.0809032770820533
"267","TransportGOP",35829796,1.52214882520171
"268","RepTomGraves",190328374,1.28804816346801
"269","RepDanKildee",1045110018,-0.339418205371876
"270","SenatorLeahy",242836537,-0.571177088625578
"271","RepMarthaRoby",224294785,1.56928537912659
"272","RepGosar",240760644,1.49273820269718
"273","JohnKerry",15007149,-0.753648493367663
"274","RepBobGibbs",234822928,1.52313132111504
"275","RepBillFlores",237312687,1.7027193586423
"276","RepJeffDuncan",240393970,1.57390113416759
"277","RepDonaldPayne",1155335864,-0.845050870561271
"278","HRC",19608297,-0.209968157133187
"279","SenToddYoung",234128524,1.61619803065515
"280","RepBradWenstrup",518644221,1.47496196931516
"281","RepSusanDavis",432771620,-1.12597028568907
"282","CraigCaplan",317980134,1.32531019756861
"283","RepublicanStudy",22528309,1.56792153330065
"284","davidcicilline",23593446,-1.14641378401824
"285","RepPeterDeFazio",252249233,-0.866805117816701
"286","RepBobbyRush",305216911,-0.892013879944379
"287","SenToomey",221162525,1.49057903748506
"288","PeterWelch",1410590874,0.759206803857788
"289","JoaquinCastrotx",231510077,-1.6855557469437
"290","EnergyCommerce",30929600,-1.29465372275531
"291","DanaPerino",27311044,1.07543514738482
"292","RepMikeRogersAL",33977070,1.49551181204186
"293","HurdOnTheHill",2963445730,1.37850549523149
"294","GOP",11134252,1.66923933517472
"295","RodneyDavis",993153006,1.41386327300877
"296","SenatorBurr",21157904,1.37388200859964
"297","RepAnnWagner",1051446626,1.36331449176684
"298","ABCPolitics",16815644,1.18733803728981
"299","jahimes",31611298,-1.03068710111328
"300","AGBecerra",133832049,-0.899036553449107
"301","SenCoryGardner",235217558,1.43559863017718
"302","RobWittman",15356407,1.39442820042299
"303","RepWalberg",237862972,1.55674987353109
"304","SenGaryPeters",236511574,0.396662488621769
"305","RepGoodlatte",37920978,1.35756036771638
"306","RepHuizenga",233949261,1.50568819337075
"307","SenBobCasey",171598736,0.825709763864519
"308","SenWhitehouse",242555999,-0.480785479335208
"309","RepRaulRuizMD",1089859058,-0.22459014510769
"310","Acosta",22771961,0.888533588311673
"311","EricCantor",18891923,1.22391289149333
"312","amyklobuchar",33537967,-0.351184273982634
"313","TheDemocrats",14377605,-1.11396114328369
"314","JoeBiden",939091,-1.59842285397254
"315","tedlieu",21059255,0.883101091000624
"316","RepJoseSerrano",33563161,-0.0418730142207026
"317","nielslesniewski",140286364,1.02708807719478
"318","TheAtlantic",35773039,0.319416456465824
"319","RepCohen",162069635,-1.59352154382497
"320","RepDWStweets",1140648348,0.179801663091533
"321","RepSchrader",20545793,0.459471544625942
"322","jonallendc",43409523,1.13612397840022
"323","LGBTEqCaucus",1392282998,-0.869279193274835
"324","NBCPolitics",11856032,-0.919619301713499
"325","keithellison",14135426,0.953014069661454
"326","SenatorReid",16789970,0.0606667998583604
"327","SenRonJohnson",233737858,1.31288508118749
"328","HomelandDems",208692908,-1.05427833693966
"329","RepEdRoyce",246769138,1.45246088438812
"330","alexburnsNYT",79743108,0.131531890757903
"331","SenJohnThune",296361085,1.48638775223556
"332","SeanDuffyWI",234022257,1.50440429126172
"333","RepRichardNeal",442824717,-1.50986157677537
"334","RepBonamici",558769636,-0.072562769799947
"335","MajorCBS",46176168,1.18297146798671
"336","RepDLamborn",584012853,1.45572879239411
"337","VetAffairsDems",151519500,0.111360784552023
"338","BBCBreaking",5402612,0.555329378685512
"339","greta",16031927,1.13075140846678
"340","davidgregory",20608910,0.954367221333249
"341","SenTomCotton",968650362,1.41778202089108
"342","RepSires",18696134,-0.512547535118646
"343","SenatorShaheen",109287731,0.342469582500048
"344","GKButterfield",432676344,-1.02246190482377
"345","RepJohnConyers",138770045,-0.325956447792739
"346","HASCRepublicans",20192403,1.37052596281355
"347","PhilipRucker",59331128,1.12119459060198
"348","SenBobCorker",73303753,1.26797652636138
"349","SenCapito",193794406,1.54737877221973
"350","RepKayGranger",161743731,1.337795306024
"351","SenKevinCramer",1048784496,1.57613720928623
"352","SenJohnBarrasso",202206694,1.48128107590664
"353","RepPeteAguilar",3018670151,-0.688590569834151
"354","LindseyGrahamSC",432895323,1.55987812311596
"355","Lawrence",158426909,-1.20869230858168
"356","JohnKingCNN",30043495,1.15137921762622
"357","RepMarkWalker",2966205003,1.53758665650636
"358","RepRickLarsen",404132211,-0.897048064912965
"359","USRepKCastor",1880674038,-0.396211000549675
